question_id;question_type;image_name;question;answer;image_id
131190030;is the;COCO_train2014_131190.jpg;Is the emblem a sun face clock?;yes;131190
393290001;is the woman;COCO_train2014_393290.jpg;Is the woman eating the pizza?;no;393290
138002;is this a;COCO_train2014_138.jpg;Is this a conventional kitchen?;no;138
393311000;none of the above;COCO_train2014_393311.jpg;Will these planes be used to transport people?;no;393311
262260002;is this;COCO_train2014_262260.jpg;Is this image tilted?;yes;262260
524297000;none of the above;COCO_train2014_524297.jpg;Judging from the dress, was this taken in a Latin American country?;yes;524297
524297002;are the;COCO_train2014_524297.jpg;Are the men on the sidewalk?;no;524297
524297003;was;COCO_train2014_524297.jpg;Was this photo taken recently?;no;524297
30000;are there;COCO_train2014_30.jpg;Are there flowers in the vase?;yes;30
30003;are the;COCO_train2014_30.jpg;Are the flowers open?;yes;30
94004;is this a;COCO_train2014_94.jpg;Is this a small town?;yes;94
30005;are;COCO_train2014_30.jpg;Are all the flowers white?;no;30
393224000;is the man;COCO_train2014_393224.jpg;Is the man smiling?;no;393224
131208001;is that a;COCO_train2014_131208.jpg;Is that a laptop on the chair?;yes;131208
393224002;none of the above;COCO_train2014_393224.jpg;Does his tie pair well with his suit?;no;393224
393224003;does the;COCO_train2014_393224.jpg;Does the man look happy?;no;393224
393224004;is this;COCO_train2014_393224.jpg;Is this photo in color?;no;393224
393224005;is the man;COCO_train2014_393224.jpg;Is the man wearing a plain tie?;no;393224
72002;are the;COCO_train2014_72.jpg;Are the giraffes under the trees?;yes;72
131101001;is this;COCO_train2014_131101.jpg;Is this man angry?;no;131101
524377007;is this a;COCO_train2014_524377.jpg;Is this a healthy meal?;no;524377
524338002;is this;COCO_train2014_524338.jpg;Is this man reading a cell phone screen?;no;524338
393223000;is the;COCO_train2014_393223.jpg;Is the window open?;yes;393223
71000;does this;COCO_train2014_71.jpg;Does this photo show train tracks?;yes;71
71001;does this;COCO_train2014_71.jpg;Does this train work?;yes;71
393223003;is;COCO_train2014_393223.jpg;Is she brushing?;yes;393223
92001;does this;COCO_train2014_92.jpg;Does this cake look like it chocolate?;yes;92
262172002;are they;COCO_train2014_262172.jpg;Are they moving?;yes;262172
43697000;is this a;COCO_train2014_43697.jpg;Is this a hot dog?;yes;43697
49000;is there a;COCO_train2014_49.jpg;Is there a flower arrangement on the lawn?;yes;49
43697002;is there;COCO_train2014_43697.jpg;Is there ketchup on the hot dog?;no;43697
43697003;has;COCO_train2014_43697.jpg;Has this hot dog been grilled?;no;43697
43697004;none of the above;COCO_train2014_43697.jpg;Have you tried a hot dog like this before?;yes;43697
49002;are they;COCO_train2014_49.jpg;Are they playing polo?;no;49
113005;is there a;COCO_train2014_113.jpg;Is there a cake here?;yes;113
113006;are there any;COCO_train2014_113.jpg;Are there any pens on the table?;no;113
393286000;is the;COCO_train2014_393286.jpg;Is the banana freshly peeled?;yes;393286
393286001;is the;COCO_train2014_393286.jpg;Is the banana closed?;no;393286
240304001;are the;COCO_train2014_240304.jpg;Are the zebras facing the same direction?;yes;240304
393221000;is the;COCO_train2014_393221.jpg;Is the sky blue?;yes;393221
393221001;is there;COCO_train2014_393221.jpg;Is there snow on the mountains?;yes;393221
393306000;is the man;COCO_train2014_393306.jpg;Is the man wearing formal clothes?;no;393306
262191000;is this;COCO_train2014_262191.jpg;Is this bear a normal size?;no;262191
524420001;is the;COCO_train2014_524420.jpg;Is the picture in color?;yes;524420
524420002;is there a;COCO_train2014_524420.jpg;Is there a dog in the photo?;yes;524420
524420003;is the;COCO_train2014_524420.jpg;Is the dog on a leash?;yes;524420
524377001;is there;COCO_train2014_524377.jpg;Is there ketchup?;no;524377
25002;could;COCO_train2014_25.jpg;Could this photo be from a zoo?;yes;25
25003;are the;COCO_train2014_25.jpg;Are the animals eating?;yes;25
524377003;is the;COCO_train2014_524377.jpg;Is the hotdog well seasoned?;yes;524377
25005;is there a;COCO_train2014_25.jpg;Is there a zebra?;no;25
25007;is the;COCO_train2014_25.jpg;Is the giraffe eating the tree?;yes;25
131118000;are these;COCO_train2014_131118.jpg;Are these airliners?;yes;131118
25008;are;COCO_train2014_25.jpg;Are both giraffes standing?;no;25
131118002;are;COCO_train2014_131118.jpg;Are this cargo planes?;yes;131118
25009;are they;COCO_train2014_25.jpg;Are they at a zoo?;yes;25
25011;are;COCO_train2014_25.jpg;Are some of the trees dead?;yes;25
25012;are;COCO_train2014_25.jpg;Are any of the animals eating?;yes;25
25013;is the;COCO_train2014_25.jpg;Is the giraffe in the shade?;no;25
25014;are these;COCO_train2014_25.jpg;Are these giraffes living free range?;yes;25
25016;is there a;COCO_train2014_25.jpg;Is there a rock near the giraffe?;no;25
524291001;is the;COCO_train2014_524291.jpg;Is the dog waiting?;yes;524291
131075001;is the;COCO_train2014_131075.jpg;Is the light on?;no;131075
524377015;is there a;COCO_train2014_524377.jpg;Is there a spoon in this photo?;no;524377
131075004;is the;COCO_train2014_131075.jpg;Is the room messy?;no;131075
131075005;is this a;COCO_train2014_131075.jpg;Is this a TV screen?;yes;131075
524377016;is this;COCO_train2014_524377.jpg;Is this breakfast?;no;524377
131160001;none of the above;COCO_train2014_131160.jpg;Would you be able to find a mosque in this city?;yes;131160
524377025;is there a;COCO_train2014_524377.jpg;Is there a drink in this picture?;no;524377
131075011;is there a;COCO_train2014_131075.jpg;Is there a laptop in the image?;yes;131075
524377030;do;COCO_train2014_524377.jpg;Do these hot dogs look like they taste good?;yes;524377
524377031;are;COCO_train2014_524377.jpg;Are those tomatoes on the sandwich?;no;524377
109000;is this an;COCO_train2014_109.jpg;Is this an ocean area?;yes;109
109003;is the;COCO_train2014_109.jpg;Is the ground near the waterfront squishy?;no;109
524377037;are the;COCO_train2014_524377.jpg;Are the fries plain?;no;524377
524377038;does this;COCO_train2014_524377.jpg;Does this breakfast dish primarily carbohydrates?;yes;524377
524377039;has;COCO_train2014_524377.jpg;Has someone started eating?;no;524377
109005;is the;COCO_train2014_109.jpg;Is the water calm?;yes;109
524377041;none of the above;COCO_train2014_524377.jpg;Would this be good for dessert?;no;524377
131074002;are the;COCO_train2014_131074.jpg;Are the walls done in a summery color?;yes;131074
131074003;is the;COCO_train2014_131074.jpg;Is the curtain patterned?;no;131074
524377042;is there a;COCO_train2014_524377.jpg;Is there a butter plate on the table?;yes;524377
131074005;are the;COCO_train2014_131074.jpg;Are the windows the same size?;yes;131074
524377043;does this;COCO_train2014_524377.jpg;Does this have lettuce?;no;524377
524377044;does the;COCO_train2014_524377.jpg;Does the food look good?;yes;524377
524375000;is this a;COCO_train2014_524375.jpg;Is this a cow farm?;yes;524375
524311001;is the man;COCO_train2014_524311.jpg;Is the man having a good time?;yes;524311
524377045;is this;COCO_train2014_524377.jpg;Is this meat?;yes;524377
524377048;none of the above;COCO_train2014_524377.jpg;Would this typically be eaten for breakfast?;no;524377
524377049;is;COCO_train2014_524377.jpg;Is that bacon from a delicatessen?;yes;524377
524375006;is this a;COCO_train2014_524375.jpg;Is this a prairie?;yes;524375
524375007;is there a;COCO_train2014_524375.jpg;Is there a village in the background?;no;524375
284012001;is;COCO_train2014_284012.jpg;Is Cingular a sponsor of this field?;yes;284012
110001;is this a;COCO_train2014_110.jpg;Is this a cheese pizza?;yes;110
262273001;is there;COCO_train2014_262273.jpg;Is there snow?;yes;262273
436929001;are;COCO_train2014_436929.jpg;Are all of the birds in flight?;no;436929
436929003;are there;COCO_train2014_436929.jpg;Are there three birds in the picture?;yes;436929
436929004;is this a;COCO_train2014_436929.jpg;Is this a dog?;no;436929
436929005;is this a;COCO_train2014_436929.jpg;Is this a winter scene?;yes;436929
262273006;is it;COCO_train2014_262273.jpg;Is it summer?;no;262273
436929006;is the;COCO_train2014_436929.jpg;Is the water frozen?;yes;436929
86000;is that a;COCO_train2014_86.jpg;Is that a bicycle?;yes;86
262187000;is this;COCO_train2014_262187.jpg;Is this plane landing?;no;262187
262187003;is the;COCO_train2014_262187.jpg;Is the plane taking off?;no;262187
