question_id;question_type;image_name;question;answer;image_id
396362000;are there;COCO_train2014_396362.jpg;Are there people waiting on the side to surf?;yes;396362
269386001;is this a;COCO_train2014_269386.jpg;Is this a hotel?;yes;269386
396362002;is it;COCO_train2014_396362.jpg;Is it daytime?;yes;396362
398623002;are these;COCO_train2014_398623.jpg;Are these people doing the same thing as the name of wrist adornment shown here?;yes;398623
1311003;is the;COCO_train2014_1311.jpg;Is the plane ready for takeoff?;no;1311
531956000;are the;COCO_train2014_531956.jpg;Are the stuffed bears identical?;yes;531956
134644002;is the;COCO_train2014_134644.jpg;Is the bird wild?;yes;134644
134644004;is this a;COCO_train2014_134644.jpg;Is this a bird of prey?;no;134644
134644005;none of the above;COCO_train2014_134644.jpg;Can this bird call this mate?;yes;134644
134644006;none of the above;COCO_train2014_134644.jpg;The bird is wild?;yes;134644
349897001;none of the above;COCO_train2014_349897.jpg;Did the girl just catch the ball?;no;349897
264307000;is this;COCO_train2014_264307.jpg;Is this being played by a team?;no;264307
268403000;are the;COCO_train2014_268403.jpg;Are the bananas ripe?;yes;268403
268403001;is there a;COCO_train2014_268403.jpg;Is there a spice rack under the frying pans?;yes;268403
264307003;are there;COCO_train2014_264307.jpg;Are there two men in this picture?;yes;264307
393544002;is this;COCO_train2014_393544.jpg;IS this boy on the ground?;no;393544
137757000;is the;COCO_train2014_137757.jpg;Is the meal tasty?;yes;137757
137757001;none of the above;COCO_train2014_137757.jpg;Would a vegetarian eat this?;no;137757
88605001;is the;COCO_train2014_88605.jpg;Is the man's tie a long tie?;no;88605
88605002;is the man;COCO_train2014_88605.jpg;Is the man wearing a hat?;yes;88605
137757004;is there;COCO_train2014_137757.jpg;Is there broccoli?;no;137757
137757007;was;COCO_train2014_137757.jpg;Was this meal prepared at home?;yes;137757
754000;are the;COCO_train2014_754.jpg;Are the lights on?;yes;754
754002;is;COCO_train2014_754.jpg;Is anyone sitting on the toilet?;no;754
131826002;is there a;COCO_train2014_131826.jpg;Is there a house design in this picture?;yes;131826
175047000;is it;COCO_train2014_175047.jpg;Is it daytime?;yes;175047
378012002;is the;COCO_train2014_378012.jpg;Is the house abandoned?;no;378012
526320001;is the man;COCO_train2014_526320.jpg;Is the man smiling?;yes;526320
267289000;has;COCO_train2014_267289.jpg;Has the batter already his the ball?;no;267289
279577001;are these;COCO_train2014_279577.jpg;Are these the Olympic Games?;yes;279577
503022000;is this;COCO_train2014_503022.jpg;Is this food healthy?;yes;503022
400622001;are;COCO_train2014_400622.jpg;Are both people skiing?;yes;400622
400622003;is;COCO_train2014_400622.jpg;Is visibility good?;yes;400622
267715000;is there a;COCO_train2014_267715.jpg;Is there a screwdriver on the table?;yes;267715
394691001;none of the above;COCO_train2014_394691.jpg;Should these children be wearing anything else?;yes;394691
394691002;are the;COCO_train2014_394691.jpg;Are the kids wearing shoes?;no;394691
267715002;is it;COCO_train2014_267715.jpg;Is it assembled?;no;267715
132973000;do;COCO_train2014_132973.jpg;Do the windows have blinds?;yes;132973
530285003;is there a;COCO_train2014_530285.jpg;Is there a fence?;yes;530285
397378001;are they;COCO_train2014_397378.jpg;Are they on a pavement road?;yes;397378
446956001;are there;COCO_train2014_446956.jpg;Are there some people laying on the ground?;yes;446956
446956002;are these;COCO_train2014_446956.jpg;Are these students?;yes;446956
436929001;are;COCO_train2014_436929.jpg;Are all of the birds in flight?;no;436929
436929003;are there;COCO_train2014_436929.jpg;Are there three birds in the picture?;yes;436929
436929004;is this a;COCO_train2014_436929.jpg;Is this a dog?;no;436929
436929005;is this a;COCO_train2014_436929.jpg;Is this a winter scene?;yes;436929
436929006;is the;COCO_train2014_436929.jpg;Is the water frozen?;yes;436929
268993003;is this a;COCO_train2014_268993.jpg;Is this a city sidewalk?;no;268993
525206000;is it;COCO_train2014_525206.jpg;Is it safe to jump on a skateboard parked near a car?;yes;525206
268993005;is the;COCO_train2014_268993.jpg;Is the lid down?;no;268993
525206002;is that a;COCO_train2014_525206.jpg;Is that a brand new truck?;no;525206
268993006;does this;COCO_train2014_268993.jpg;Does this place look pretty unsanitary?;yes;268993
138347000;is the;COCO_train2014_138347.jpg;Is the wind strong enough to fly kites?;yes;138347
136512000;none of the above;COCO_train2014_136512.jpg;Baseball is being played?;yes;136512
394560002;are the;COCO_train2014_394560.jpg;Are the people in the front row leaning forward because they are bored?;no;394560
136512005;are there any;COCO_train2014_136512.jpg;Are there any stripes on the lawn?;yes;136512
530154000;is the;COCO_train2014_530154.jpg;Is the dog clean?;yes;530154
530154002;is this a;COCO_train2014_530154.jpg;Is this a studio photo?;yes;530154
264340001;is the man;COCO_train2014_264340.jpg;Is the man running?;yes;264340
264340002;is the man;COCO_train2014_264340.jpg;Is the man in the background also playing tennis?;no;264340
393577000;is this a;COCO_train2014_393577.jpg;Is this a fairytale book?;no;393577
397673004;are there;COCO_train2014_397673.jpg;Are there other vehicles on the tarmac?;yes;397673
395838000;is this;COCO_train2014_395838.jpg;Is this bathroom nice?;yes;395838
395838001;is there;COCO_train2014_395838.jpg;Is there sun coming through the window?;yes;395838
395838002;is there a;COCO_train2014_395838.jpg;Is there a shower curtain?;yes;395838
395838003;is there a;COCO_train2014_395838.jpg;Is there a scale in the picture?;no;395838
397673010;is the;COCO_train2014_397673.jpg;Is the weather being overcast with clouds?;yes;397673
395838005;is this a;COCO_train2014_395838.jpg;Is this a public restroom?;no;395838
397673011;is this a;COCO_train2014_397673.jpg;Is this a un plane?;yes;397673
398099000;is the;COCO_train2014_398099.jpg;Is the girl barefoot?;no;398099
525075001;is the;COCO_train2014_525075.jpg;Is the toaster real?;no;525075
398099001;does this;COCO_train2014_398099.jpg;Does this woman look athletic?;yes;398099
398099003;are;COCO_train2014_398099.jpg;Are all the seats occupied?;yes;398099
398099004;is this;COCO_train2014_398099.jpg;Is this sport being played in a school?;no;398099
398099007;is this an;COCO_train2014_398099.jpg;Is this an event with an audience?;yes;398099
437224000;none of the above;COCO_train2014_437224.jpg;Can this small screen play full movies?;yes;437224
437224001;was;COCO_train2014_437224.jpg;Was this photo taken on a bus?;no;437224
437224002;is the;COCO_train2014_437224.jpg;Is the fasten seatbelt sign on right now?;no;437224
3048000;is the;COCO_train2014_3048.jpg;Is the baby sleeping?;yes;3048
525501001;are there;COCO_train2014_525501.jpg;Are there many clouds in the sky?;no;525501
525501002;is it;COCO_train2014_525501.jpg;Is it stormy in the image?;no;525501
525501003;is this;COCO_train2014_525501.jpg;Is this picture taken from the ground?;yes;525501
525501004;is there a;COCO_train2014_525501.jpg;Is there a plane?;no;525501
525501005;is the person;COCO_train2014_525501.jpg;Is the person in the water?;no;525501
525501006;are there;COCO_train2014_525501.jpg;Are there clouds in the sky?;no;525501
525501008;is the;COCO_train2014_525501.jpg;Is the sky cloudy?;no;525501
525501011;is this a;COCO_train2014_525501.jpg;Is this a person's silhouette?;yes;525501
525501012;are there;COCO_train2014_525501.jpg;Are there clouds in the picture?;no;525501
3474003;is the;COCO_train2014_3474.jpg;Is the suitcase big?;yes;3474
525501014;are there any;COCO_train2014_525501.jpg;Are there any people in the water?;no;525501
525501015;is this;COCO_train2014_525501.jpg;Is this over water?;no;525501
525501016;do you;COCO_train2014_525501.jpg;Do you a UFO in the sky?;no;525501
525501017;is the;COCO_train2014_525501.jpg;Is the sun close to the ground?;no;525501
525501018;is this a;COCO_train2014_525501.jpg;Is this a horse?;no;525501
1639001;is this person;COCO_train2014_1639.jpg;Is this person paragliding?;no;1639
525501020;is there a;COCO_train2014_525501.jpg;Is there a popular name for lakes, starting with P, that describes this beach water?;no;525501
1639004;is this;COCO_train2014_1639.jpg;Is this water dangerous?;yes;1639
525501022;is the;COCO_train2014_525501.jpg;Is the sun visible?;yes;525501
3474006;is the;COCO_train2014_3474.jpg;Is the cat happy?;yes;3474
133137000;is it;COCO_train2014_133137.jpg;Is it sunny out?;yes;133137
524518001;are there any;COCO_train2014_524518.jpg;Are there any water glasses on the table?;yes;524518
524518003;are there;COCO_train2014_524518.jpg;Are there tomatoes on the pizza?;yes;524518
524518005;are there any;COCO_train2014_524518.jpg;Are there any people in the picture?;no;524518
656000;is the;COCO_train2014_656.jpg;Is the motorcycle's headlight switched on?;no;656
66192000;is there a;COCO_train2014_66192.jpg;Is there a photo quality printer on the desk?;yes;66192
400655000;is the person;COCO_train2014_400655.jpg;Is the person wearing a wetsuit?;yes;400655
400655001;is the person;COCO_train2014_400655.jpg;Is the person falling over?;yes;400655
134841001;none of the above;COCO_train2014_134841.jpg;Did he just hit the ball?;yes;134841
175801003;none of the above;COCO_train2014_175801.jpg;Does it look like it might rain?;yes;175801
175801004;is there;COCO_train2014_175801.jpg;Is there two-way traffic?;no;175801
175801006;is the;COCO_train2014_175801.jpg;Is the street busy?;no;175801
399672001;do;COCO_train2014_399672.jpg;Do these animals have short necks?;no;399672
395576002;has;COCO_train2014_395576.jpg;Has winter come?;yes;395576
399672002;are these;COCO_train2014_399672.jpg;Are these animals spotted?;yes;399672
399672004;are;COCO_train2014_399672.jpg;Are both giraffes adults?;yes;399672
264930001;do you;COCO_train2014_264930.jpg;Do you see any wild animals?;no;264930
264930003;none of the above;COCO_train2014_264930.jpg;Did the boaters catch any fish?;no;264930
95159003;is the;COCO_train2014_95159.jpg;Is the sun shining brightly in the sky?;no;95159
95159004;are there;COCO_train2014_95159.jpg;Are there trees in this scene?;no;95159
95159005;is this;COCO_train2014_95159.jpg;Is this kite flying to low to the water?;no;95159
265356000;is the;COCO_train2014_265356.jpg;Is the boy's hat on straight?;no;265356
265356001;is the;COCO_train2014_265356.jpg;Is the child being silly?;yes;265356
7503003;is the man;COCO_train2014_7503.jpg;Is the man wearing long pants?;no;7503
395019000;could;COCO_train2014_395019.jpg;Could you get bacon from this animal?;no;395019
530187002;is this a;COCO_train2014_530187.jpg;Is this a hotel room?;yes;530187
530187004;are the;COCO_train2014_530187.jpg;Are the lights on?;no;530187
530187006;are the;COCO_train2014_530187.jpg;Are the curtains floor length?;no;530187
530187007;is the;COCO_train2014_530187.jpg;Is the light on?;no;530187
530187008;are the;COCO_train2014_530187.jpg;Are the drapes open?;yes;530187
530187009;is there a;COCO_train2014_530187.jpg;Is there a light on in the photo?;no;530187
395445000;do;COCO_train2014_395445.jpg;Do they like striped shirts?;yes;395445
395445002;are these;COCO_train2014_395445.jpg;Are these men having fun on their laptop?;yes;395445
4490000;is the man;COCO_train2014_4490.jpg;Is the man wearing shades?;yes;4490
394001;is there;COCO_train2014_394.jpg;Is there grass?;yes;394
4490001;is the person;COCO_train2014_4490.jpg;Is the person enjoying himself?;yes;4490
394003;is the;COCO_train2014_394.jpg;Is the puppy small enough to lay inside the frisbee?;no;394
394004;is the;COCO_train2014_394.jpg;Is the frisbee in good shape?;no;394
4490002;do;COCO_train2014_4490.jpg;Do his pants fit?;yes;4490
133727001;is this;COCO_train2014_133727.jpg;Is this player on a soccer team?;no;133727
394036003;is the;COCO_train2014_394036.jpg;Is the cat in the toilet?;no;394036
394036006;is the;COCO_train2014_394036.jpg;Is the bathroom empty?;no;394036
394036008;are the;COCO_train2014_394036.jpg;Are the lights on in this room?;no;394036
394036010;is the;COCO_train2014_394036.jpg;Is the color of the bathroom masculine?;no;394036
531465002;is he;COCO_train2014_531465.jpg;Is he spinning a frisbee around his finger?;yes;531465
265225007;is the;COCO_train2014_265225.jpg;Is the furniture contemporary?;yes;265225
529630001;is this;COCO_train2014_529630.jpg;Is this considered a traditional American food?;yes;529630
529630002;was;COCO_train2014_529630.jpg;Was the cookie cut in half?;yes;529630
265225011;does this;COCO_train2014_265225.jpg;Does this TV need a stand?;yes;265225
265225012;is this;COCO_train2014_265225.jpg;Is this someone's house?;no;265225
529630005;are there;COCO_train2014_529630.jpg;Are there green leafy food available?;no;529630
529630009;is this;COCO_train2014_529630.jpg;Is this breakfast?;yes;529630
415794000;do;COCO_train2014_415794.jpg;Do some of these sheep about to be sheared?;yes;415794
415794001;is there a;COCO_train2014_415794.jpg;Is there a hillside in the image?;yes;415794
415794002;are the;COCO_train2014_415794.jpg;Are the animals wild?;no;415794
524551000;is it;COCO_train2014_524551.jpg;Is it a clear day?;yes;524551
395740002;is it;COCO_train2014_395740.jpg;Is it night?;yes;395740
395740005;do;COCO_train2014_395740.jpg;Do all the windows have shutters?;no;395740
395740006;is there a;COCO_train2014_395740.jpg;Is there a clock on the tower?;no;395740
395740008;are there any;COCO_train2014_395740.jpg;Are there any people in the street?;yes;395740
4785002;are the;COCO_train2014_4785.jpg;Are the giraffes moving toward the camera?;no;4785
4785003;has;COCO_train2014_4785.jpg;Has a tree fallen off?;yes;4785
318768001;is this;COCO_train2014_318768.jpg;Is this his first day doing this sport?;no;318768
240944003;is;COCO_train2014_240944.jpg;Is she wearing a visor?;yes;240944
263685001;are the;COCO_train2014_263685.jpg;Are the noses touches?;yes;263685
263685002;is there a;COCO_train2014_263685.jpg;Is there a frame for the bed?;yes;263685
263685005;is the;COCO_train2014_263685.jpg;Is the child crying?;yes;263685
263685006;does this;COCO_train2014_263685.jpg;Does this little boy look like he's having fun?;yes;263685
263685007;are they;COCO_train2014_263685.jpg;Are they on a bunk bed?;no;263685
263685011;is the;COCO_train2014_263685.jpg;Is the baby happy?;no;263685
263685012;are these;COCO_train2014_263685.jpg;Are these kids trying to sleep?;no;263685
263685016;is the;COCO_train2014_263685.jpg;Is the baby asleep?;no;263685
263685017;is the;COCO_train2014_263685.jpg;Is the baby crying?;yes;263685
263685019;is the;COCO_train2014_263685.jpg;Is the baby eating cake?;no;263685
263685020;are the;COCO_train2014_263685.jpg;Are the children talking?;no;263685
524420001;is the;COCO_train2014_524420.jpg;Is the picture in color?;yes;524420
524420002;is there a;COCO_train2014_524420.jpg;Is there a dog in the photo?;yes;524420
524420003;is the;COCO_train2014_524420.jpg;Is the dog on a leash?;yes;524420
264537000;is he;COCO_train2014_264537.jpg;Is he holding a surfboard?;no;264537
6489002;none of the above;COCO_train2014_6489.jpg;Did he just win a race?;no;6489
984004;is this a;COCO_train2014_984.jpg;Is this a full meal?;no;984
984006;is the;COCO_train2014_984.jpg;Is the banan having a sticker?;no;984
984009;is;COCO_train2014_984.jpg;Is someone trying to eat a banana?;yes;984
527533001;is;COCO_train2014_527533.jpg;Is a pizza slice missing from pizza?;yes;527533
984011;are the;COCO_train2014_984.jpg;Are the bananas ripe?;yes;984
138413002;is that a;COCO_train2014_138413.jpg;Is that a train?;no;138413
984015;are these;COCO_train2014_984.jpg;Are these fruits high in fiber?;yes;984
525698001;is the;COCO_train2014_525698.jpg;Is the pizza healthy?;no;525698
3671003;is there;COCO_train2014_3671.jpg;Is there meat in this picture?;yes;3671
132908000;is this a;COCO_train2014_132908.jpg;Is this a tour bus?;yes;132908
132908004;are there;COCO_train2014_132908.jpg;Are there buildings in the picture?;no;132908
132908006;is this a;COCO_train2014_132908.jpg;Is this a bus?;yes;132908
132908008;is this;COCO_train2014_132908.jpg;Is this bus part of a transportation line?;yes;132908
6358001;is there a;COCO_train2014_6358.jpg;Is there a curling iron in the picture?;no;6358
6358002;none of the above;COCO_train2014_6358.jpg;Should this woman turn a light on?;yes;6358
70059001;has;COCO_train2014_70059.jpg;Has the train stopped?;no;70059
262997000;is this a;COCO_train2014_262997.jpg;Is this a public bathroom?;no;262997
853001;is the;COCO_train2014_853.jpg;Is the fork necessary?;yes;853
853003;is there;COCO_train2014_853.jpg;Is there enough for more than one sandwich?;yes;853
853004;is this;COCO_train2014_853.jpg;Is this food likely only for one person?;yes;853
262997003;is the;COCO_train2014_262997.jpg;Is the toilet paper folded for presentation?;no;262997
262997005;none of the above;COCO_train2014_262997.jpg;Would you use this bathroom?;yes;262997
262997006;is this a;COCO_train2014_262997.jpg;Is this a narrow room?;yes;262997
262997007;is this a;COCO_train2014_262997.jpg;Is this a large bathroom?;no;262997
262997009;does the;COCO_train2014_262997.jpg;Does the mirror have a golden frame?;no;262997
396330003;is this;COCO_train2014_396330.jpg;Is this occurring at an event?;yes;396330
396330004;is the man;COCO_train2014_396330.jpg;Is the man holding a microphone in one of his hands?;no;396330
396330005;is the man;COCO_train2014_396330.jpg;Is the man in motion?;no;396330
396330009;is there;COCO_train2014_396330.jpg;Is there somebody with crossed legs in this picture?;no;396330
525567002;is he;COCO_train2014_525567.jpg;Is he riding in the street?;yes;525567
175998000;is the woman;COCO_train2014_175998.jpg;Is the woman in public?;yes;175998
135038001;is the;COCO_train2014_135038.jpg;Is the animal fully grown?;no;135038
175998001;is there a;COCO_train2014_175998.jpg;Is there a married man in the picture?;yes;175998
297043004;is the;COCO_train2014_297043.jpg;Is the woman's hair wet?;no;297043
266536002;is the;COCO_train2014_266536.jpg;Is the bear in a bad mood?;no;266536
297043015;is;COCO_train2014_297043.jpg;Is her face painted?;no;297043
297043018;none of the above;COCO_train2014_297043.jpg;Does she look sexy?;no;297043
297043020;none of the above;COCO_train2014_297043.jpg;Does she have glasses on her head?;no;297043
297043022;is;COCO_train2014_297043.jpg;Is her  hair long?;yes;297043
722000;are these;COCO_train2014_722.jpg;Are these people sad?;no;722
722001;are the;COCO_train2014_722.jpg;Are the women in the front wearing cheerful outfits?;yes;722
722002;is this an;COCO_train2014_722.jpg;Is this an event?;yes;722
445351001;does the;COCO_train2014_445351.jpg;Does the dog have big ears?;yes;445351
2983002;none of the above;COCO_train2014_2983.jpg;Should this picture be shown to children?;yes;2983
2983003;can you;COCO_train2014_2983.jpg;Can you see through this woman's sleeves?;no;2983
2983004;is the man;COCO_train2014_2983.jpg;Is the man wearing a cowboy hat?;no;2983
445351002;is it;COCO_train2014_445351.jpg;Is it sunny?;yes;445351
529532000;are these;COCO_train2014_529532.jpg;Are these animals in a jungle?;no;529532
529532002;is the;COCO_train2014_529532.jpg;Is the giraffe sitting?;yes;529532
396625001;is this a;COCO_train2014_396625.jpg;Is this a baby giraffe?;yes;396625
396625005;is this;COCO_train2014_396625.jpg;Is this giraffe alone?;no;396625
396625007;do;COCO_train2014_396625.jpg;Do these animals lie down to sleep?;yes;396625
132646000;is this;COCO_train2014_132646.jpg;Is this cat probably a pet?;yes;132646
396625008;is this;COCO_train2014_396625.jpg;Is this giraffe poking its head in a cave?;no;396625
134907000;is this;COCO_train2014_134907.jpg;Is this man in a bed?;no;134907
134907003;is this an;COCO_train2014_134907.jpg;Is this an edible product?;no;134907
134907004;is;COCO_train2014_134907.jpg;Is any human currently typing on this laptop?;yes;134907
134907006;is the;COCO_train2014_134907.jpg;Is the laptop plugged up?;yes;134907
134907008;is;COCO_train2014_134907.jpg;Is that guy looking at the camera?;yes;134907
134907009;is the;COCO_train2014_134907.jpg;Is the book open?;yes;134907
134907010;none of the above;COCO_train2014_134907.jpg;Does he have a hand on his head?;no;134907
395216004;are these;COCO_train2014_395216.jpg;Are these racers on a track?;no;395216
165001;is;COCO_train2014_165.jpg;Is a military person in the picture?;yes;165
165002;are they;COCO_train2014_165.jpg;Are they smiling?;yes;165
399738001;is this a;COCO_train2014_399738.jpg;Is this a passenger train?;yes;399738
399738003;is this;COCO_train2014_399738.jpg;Is this train in the United States?;yes;399738
459343000;is the;COCO_train2014_459343.jpg;Is the train in motion?;yes;459343
459343001;is it;COCO_train2014_459343.jpg;Is it daytime?;no;459343
459343002;are the;COCO_train2014_459343.jpg;Are the lights on inside the train?;yes;459343
531236000;is there a;COCO_train2014_531236.jpg;Is there a shadow on this pic?;yes;531236
531236001;is it;COCO_train2014_531236.jpg;Is it snowing?;no;531236
5113000;is this a;COCO_train2014_5113.jpg;Is this a magazine?;yes;5113
396494000;is it;COCO_train2014_396494.jpg;Is it sunny?;yes;396494
531662001;is this a;COCO_train2014_531662.jpg;Is this a yacht?;no;531662
531662003;none of the above;COCO_train2014_531662.jpg;Would you be protected from a sudden downpour if you hid in this boat?;no;531662
529827000;is this;COCO_train2014_529827.jpg;Is this bed made?;yes;529827
132515002;is this;COCO_train2014_132515.jpg;Is this man cold?;no;132515
132515006;is it;COCO_train2014_132515.jpg;Is it a sunny day?;yes;132515
132515009;is it;COCO_train2014_132515.jpg;Is it winter?;no;132515
339576002;are they;COCO_train2014_339576.jpg;Are they going to fight over who gets to use it next?;no;339576
399181000;is there a;COCO_train2014_399181.jpg;Is there a person here who likes dogs?;yes;399181
399181001;none of the above;COCO_train2014_399181.jpg;Can the beings shown open the door?;no;399181
399181002;none of the above;COCO_train2014_399181.jpg;Does one dog see the other?;yes;399181
34000;is this a;COCO_train2014_34.jpg;Is this a horse?;no;34
135202002;is the;COCO_train2014_135202.jpg;Is the dog looking at the sea?;no;135202
197068000;are these;COCO_train2014_197068.jpg;Are these modern devices?;yes;197068
135628005;are the;COCO_train2014_135628.jpg;Are the birds stealing food?;yes;135628
263456002;is there a;COCO_train2014_263456.jpg;Is there a lamp in the room?;yes;263456
267552002;is this a;COCO_train2014_267552.jpg;Is this a kitchen?;yes;267552
153716001;is the;COCO_train2014_153716.jpg;Is the boarder wearing any safety gear?;no;153716
153716002;is he;COCO_train2014_153716.jpg;Is he skating without skating gear?;yes;153716
137332002;is the;COCO_train2014_137332.jpg;Is the sun in the sky?;yes;137332
528713001;does the;COCO_train2014_528713.jpg;Does the horse have a little white on his face?;yes;528713
264734000;is this;COCO_train2014_264734.jpg;Is this picture in black and white?;no;264734
264734001;is the person;COCO_train2014_264734.jpg;Is the person airborne?;no;264734
571934002;are the;COCO_train2014_571934.jpg;Are the cows on a farm?;yes;571934
264734003;is the;COCO_train2014_264734.jpg;Is the boy skateboarding?;yes;264734
571934004;is there a;COCO_train2014_571934.jpg;Is there a forest?;no;571934
285214000;are;COCO_train2014_285214.jpg;Are Is this luggage scuffed up?;no;285214
571934006;are these;COCO_train2014_571934.jpg;Are these cows standing up?;yes;571934
571934007;has;COCO_train2014_571934.jpg;Has the grass been mowed recently?;no;571934
285214002;are the;COCO_train2014_285214.jpg;Are the suitcases on the ground?;no;285214
571934010;are these;COCO_train2014_571934.jpg;Are these animals looking for food?;yes;571934
265160000;are the;COCO_train2014_265160.jpg;Are the people seated in groups?;no;265160
265160001;is that a;COCO_train2014_265160.jpg;Is that a ferris wheel in the distance?;yes;265160
265160002;does this;COCO_train2014_265160.jpg;Does this picture take place at night?;no;265160
265160007;are the;COCO_train2014_265160.jpg;Are the people waiting for the bus at night?;no;265160
5277000;is the;COCO_train2014_5277.jpg;Is the toilet seat down?;yes;5277
5277002;are there any;COCO_train2014_5277.jpg;Are there any flowers on the shower curtain?;yes;5277
